fp	tp	fn	exp.pos	obs.pos	tpr	fdr	fnr	precision	thresh
22	8	15	23	30	0.347826086956522	0.733333333333333	0.652173913043478	0.266666666666667	1
131	14	9	23	145	0.608695652173913	0.903448275862069	0.391304347826087	0.096551724137931	2
371	13	10	23	384	0.565217391304348	0.966145833333333	0.434782608695652	0.0338541666666667	3
676	13	10	23	689	0.565217391304348	0.981132075471698	0.434782608695652	0.0188679245283019	4
785	13	10	23	798	0.565217391304348	0.983709273182957	0.434782608695652	0.0162907268170426	5
1526	11	12	23	1537	0.478260869565217	0.992843201040989	0.521739130434783	0.00715679895901106	6
2185	12	11	23	2197	0.521739130434783	0.994538006372326	0.478260869565217	0.0054619936276741	7
2357	11	12	23	2368	0.478260869565217	0.99535472972973	0.521739130434783	0.00464527027027027	8
2762	11	12	23	2773	0.478260869565217	0.996033177064551	0.521739130434783	0.00396682293544897	9
2784	12	11	23	2796	0.521739130434783	0.995708154506438	0.478260869565217	0.00429184549356223	10
