"from" "to" "time" "support" "generations" "fromT" "toT"
"103" 107 103 12 0.572139303482587 1 40 87
"104" 106 104 8 0.791044776119403 1 8 41
"105" 103 105 14 0.477611940298507 1 87 115
"106" 108 106 5 0.925373134328358 1 4 8
"107" 104 107 9 0.552238805970149 1 41 40
"109" 110 109 14 0.666666666666667 1 89 88
"110" 112 110 12 0.825870646766169 1 42 89
"111" 108 111 5 0.945273631840796 1 4 9
"112" 111 112 8 0.940298507462687 1 9 42
"113" 108 113 5 1 1 4 43
"114" 108 114 9 0.925373134328358 1 4 90
"115" 89 115 13 0.17910447761194 1 101 95
"116" 117 116 15 0.189054726368159 1 92 93
"117" 85 117 12 0.213930348258706 1 47 92
"118" 85 118 13 0.194029850746269 1 47 116
"119" 87 119 14 0.164179104477612 1 100 117
"120" 121 120 5 0.781094527363184 1 45 44
"121" 108 121 1 0.880597014925373 1 4 45
"122" 121 122 3 0.850746268656716 1 45 10
"123" 122 123 10 0.985074626865672 1 10 94
