"from" "to" "time" "support" "generations" "fromT" "toT"
"1" 85 1 11 0.174129353233831 1 47 31
"2" 3 2 14 0.477611940298507 1 38 78
"3" 2 3 14 0.512437810945274 1 78 38
"4" 1 4 14 0.661691542288557 1 31 80
"5" 1 5 12 0.965174129353234 1 31 79
"6" 1 6 12 0.761194029850746 1 31 81
"7" 15 7 14 0.238805970149254 1 37 33
"8" 9 8 14 0.288557213930348 1 32 71
"9" 15 9 11 0.323383084577114 1 37 32
"10" 121 10 3 0.855721393034826 1 45 2
"11" 9 11 15 0.263681592039801 1 32 35
"12" 9 12 15 0.243781094527363 1 32 72
"13" 15 13 12 0.338308457711443 1 37 73
"14" 13 14 15 0.945273631840796 1 73 113
"15" 10 15 10 0.45771144278607 1 2 37
"16" 20 16 13 0.288557213930348 1 36 77
"17" 15 17 11 0.348258706467662 1 37 76
"18" 17 18 13 0.985074626865672 1 76 75
"19" 8 19 15 0.243781094527363 1 71 74
"20" 10 20 10 0.417910447761194 1 2 36
"21" 20 21 13 0.303482587064677 1 36 34
"22" 38 22 8 0.796019900497512 1 13 6
"23" 26 23 10 0.333333333333333 1 12 15
"24" 32 24 14 0.17910447761194 1 49 16
"25" 33 25 12 0.26865671641791 1 50 53
"26" 38 26 8 0.736318407960199 1 13 12
"27" 33 27 12 0.263681592039801 1 50 54
"28" 26 28 12 0.253731343283582 1 12 103
"29" 25 29 13 0.203980099502488 1 53 52
"30" 26 30 12 0.303482587064677 1 12 48
"31" 33 31 12 0.248756218905473 1 50 51
"32" 25 32 12 0.213930348258706 1 53 49
"33" 38 33 9 0.562189054726368 1 13 50
"34" 43 34 6 0.487562189054726 1 29 5
"35" 37 35 13 0.721393034825871 1 14 104
"36" 37 36 12 0.771144278606965 1 14 55
"37" 34 37 9 0.940298507462687 1 5 14
"38" 34 38 7 0.741293532338308 1 5 13
"39" 60 39 13 0.238805970149254 1 111 30
"40" 60 40 14 0.27363184079602 1 111 69
"41" 42 41 11 0.278606965174129 1 28 70
"42" 43 42 8 0.447761194029851 1 29 28
"43" 65 43 5 0.293532338308458 1 1 29
"44" 46 44 15 0.293532338308458 1 68 112
